"","groupName","activeTouch","timeStamp","C"
"499","B",0,"6/6/16 8:08",1
"500","A",0,"6/6/16 8:51",0
"501","B",0,"6/6/16 9:04",1
"502","A",0,"6/6/16 9:04",0
"503","A",0,"6/6/16 9:09",0
"504","B",0,"6/6/16 9:09",0
"505","B",0,"6/6/16 9:49",0
"506","A",0,"6/6/16 9:56",0
"507","A",0,"6/6/16 10:18",0
"508","A",0,"6/6/16 10:27",1
"509","B",0,"6/6/16 10:33",1
"510","B",0,"6/6/16 10:49",0
"511","A",0,"6/6/16 11:13",1
"512","A",0,"6/6/16 11:18",0
"513","A",0,"6/6/16 11:25",0
"514","A",0,"6/6/16 11:26",0
"515","B",0,"6/6/16 11:33",0
"516","A",0,"6/6/16 11:34",0
"517","B",0,"6/6/16 11:42",1
"518","A",1,"6/6/16 11:42",0
"519","A",0,"6/6/16 11:49",0
"520","B",0,"6/6/16 12:07",0
"521","B",0,"6/6/16 12:09",0
"522","A",0,"6/6/16 12:18",0
"523","B",0,"6/6/16 12:24",0
"524","B",0,"6/6/16 12:25",0
"525","B",0,"6/6/16 12:29",0
"526","A",0,"6/6/16 12:33",0
"527","B",0,"6/6/16 12:53",1
"528","A",0,"6/6/16 12:55",0
"529","B",0,"6/6/16 13:19",0
"530","B",0,"6/6/16 13:26",0
"531","B",0,"6/6/16 13:53",0
"532","A",0,"6/6/16 13:53",0
"533","B",0,"6/6/16 14:23",0
"534","B",0,"6/6/16 14:29",0
"535","B",0,"6/6/16 14:44",0
"536","A",1,"6/6/16 14:45",0
"537","A",0,"6/6/16 14:55",0
"538","B",0,"6/6/16 15:06",0
"539","A",0,"6/6/16 15:17",0
"540","A",0,"6/6/16 15:29",0
"541","B",0,"6/6/16 15:41",0
"542","B",0,"6/6/16 15:45",0
"543","A",1,"6/6/16 15:50",0
"544","B",0,"6/6/16 16:08",0
"545","A",0,"6/6/16 16:13",0
"546","B",0,"6/6/16 16:22",0
"547","B",1,"6/6/16 16:23",0
"548","A",0,"6/6/16 16:23",1
"549","B",0,"6/6/16 16:24",0
"550","A",0,"6/6/16 16:38",0
"551","A",0,"6/6/16 16:38",0
"552","A",0,"6/6/16 16:41",0
"553","B",0,"6/6/16 16:43",0
"554","B",1,"6/6/16 16:44",0
"555","B",1,"6/6/16 17:15",0
"556","A",0,"6/6/16 17:19",0
"557","B",0,"6/6/16 17:43",0
"558","B",0,"6/6/16 17:59",0
"559","A",0,"6/6/16 18:03",0
"560","A",0,"6/6/16 18:09",0
"561","A",0,"6/6/16 18:36",1
"562","A",0,"6/6/16 18:43",0
"563","A",0,"6/6/16 18:53",0
"564","B",0,"6/6/16 18:59",1
"565","A",0,"6/6/16 19:06",0
"566","A",0,"6/6/16 19:15",0
"567","B",0,"6/6/16 19:16",0
"568","B",0,"6/6/16 19:23",0
"569","B",0,"6/6/16 19:26",0
"570","B",0,"6/6/16 19:39",0
"571","B",0,"6/6/16 19:52",0
"572","B",0,"6/6/16 19:58",0
"573","B",0,"6/6/16 19:59",0
"574","A",0,"6/6/16 20:04",1
"575","A",0,"6/6/16 20:09",0
"576","A",0,"6/6/16 20:17",0
"577","B",0,"6/6/16 20:24",0
"578","A",0,"6/6/16 20:30",0
"579","A",0,"6/6/16 20:36",0
"580","A",1,"6/6/16 20:42",0
"581","A",0,"6/6/16 20:44",0
"582","B",0,"6/6/16 20:54",0
"583","A",1,"6/6/16 21:01",0
"584","B",0,"6/6/16 21:17",0
"585","B",0,"6/6/16 21:23",0
"586","A",0,"6/6/16 21:38",0
"587","A",0,"6/6/16 21:44",0
"588","A",1,"6/6/16 21:49",1
"589","A",0,"6/6/16 22:12",0
"590","A",0,"6/6/16 22:13",0
"591","A",0,"6/6/16 22:23",0
"592","B",0,"6/6/16 22:33",0
"593","A",0,"6/6/16 22:34",0
"594","A",0,"6/6/16 22:34",0
"595","B",0,"6/6/16 22:45",0
"596","B",0,"6/6/16 22:50",0
"597","B",1,"6/6/16 22:52",0
"598","B",0,"6/6/16 22:57",0
"599","B",0,"6/6/16 23:03",0
"600","B",1,"6/6/16 23:03",0
